repo_name,repo_url,pypi_rank,sample_group,ci_present,ci_server,ci_paths,build_tools,build_paths,testing_tools,testing_paths,testing_in_ci,cd_present,deployment_tools,deployment_paths,code_management_tools,provisioning_tools,versioning_automated,versioning_strategy
yarl,https://github.com/aio-libs/yarl,55,-,Yes,GitHub Actions,".github/workflows/aiohttp.yml, .github/workflows/auto-merge.yml, .github/workflows/ci-cd.yml, .github/workflows/codeql.yml, .github/workflows/reusable-cibuildwheel.yml, .github/workflows/reusable-codspeed.yml, .github/workflows/reusable-linters.yml","build, setuptools",".github/workflows/reusable-linters.yml, pyproject.toml, setup.cfg","coverage, pytest, tox",".github/workflows/aiohttp.yml, .github/workflows/ci-cd.yml, .github/workflows/reusable-codspeed.yml, .github/workflows/reusable-linters.yml, .pre-commit-config.yaml, Makefile, pyproject.toml, setup.cfg",Yes,Yes,pypa/gh-action-pypi-publish,".github/workflows/ci-cd.yml, .pre-commit-config.yaml","black, flake8, isort, mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,Release Tags
multidict,https://github.com/aio-libs/multidict,56,-,Yes,GitHub Actions,".github/workflows/auto-merge.yml, .github/workflows/ci-cd.yml, .github/workflows/codeql.yml, .github/workflows/reusable-cibuildwheel.yml, .github/workflows/reusable-linters.yml","build, setuptools",".github/workflows/reusable-linters.yml, pyproject.toml, setup.cfg, setup.py","coverage, pytest, tox",".github/workflows/ci-cd.yml, .github/workflows/reusable-linters.yml, .pre-commit-config.yaml, Makefile, pyproject.toml, setup.cfg",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci-cd.yml,"mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,Release Tags
aiohttp,https://github.com/aio-libs/aiohttp,57,-,Yes,GitHub Actions,".github/workflows/auto-merge.yml, .github/workflows/ci-cd.yml, .github/workflows/codeql.yml, .github/workflows/label-remove.yml, .github/workflows/labels.yml, .github/workflows/stale.yml","build, setuptools",".github/workflows/ci-cd.yml, pyproject.toml, setup.py","coverage, pytest, tox",".github/workflows/ci-cd.yml, Makefile, pyproject.toml, setup.cfg",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci-cd.yml,"black, flake8, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,Release Tags
google-auth,https://github.com/googleapis/google-auth-library-python,58,-,Yes,GitHub Actions,.github/workflows/unittest.yml,setuptools,setup.py,"coverage, nox, pytest, tox, unittest",".github/workflows/unittest.yml, .kokoro/continuous/prerelease-deps.cfg, .kokoro/presubmit/prerelease-deps.cfg, noxfile.py, scripts/travis.sh, setup.py",Yes,No,-,-,"black, flake8, mypy","actions/setup-python, nox, pip, tox",No,-
uvicorn,https://github.com/Kludex/uvicorn,59,-,Yes,GitHub Actions,".github/workflows/benchmark.yml, .github/workflows/main.yml, .github/workflows/publish.yml, .github/workflows/zizmor.yml",hatchling,pyproject.toml,"coverage, pytest",".github/workflows/benchmark.yml, .github/workflows/main.yml, pyproject.toml, scripts/coverage, scripts/test",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"isort, mypy, ruff","astral-sh/setup-uv, hatch",Yes,Release Tags
markdown-it-py,https://github.com/executablebooks/markdown-it-py,60,-,Yes,GitHub Actions,".github/workflows/benchmark.yml, .github/workflows/copilot-setup-steps.yml, .github/workflows/fuzz.yml, .github/workflows/tests.yml",flit,pyproject.toml,"coverage, pytest, tox",".github/workflows/benchmark.yml, .github/workflows/copilot-setup-steps.yml, .github/workflows/fuzz.yml, .github/workflows/tests.yml, pyproject.toml, scripts/profiler.py, tox.ini",Yes,Yes,flit,.github/workflows/tests.yml,"isort, mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,Release Tags
google-api-core,https://github.com/googleapis/google-cloud-python,61,-,Yes,GitHub Actions,".github/workflows/bigtable-conformance.yaml, .github/workflows/django-spanner-django5.2_tests.yml, .github/workflows/django-spanner-foreign_keys.yaml, .github/workflows/django-spanner-integration-tests-against-emulator-3.10.yml, .github/workflows/django-spanner-mockserver-tests.yml, .github/workflows/docs.yml, .github/workflows/gapic-generator-tests.yml, .github/workflows/generator.yml, .github/workflows/lint.yml, .github/workflows/main.yml, .github/workflows/unittest.yml",-,-,"coverage, nox, pytest, unittest",".github/workflows/django-spanner-integration-tests-against-emulator-3.10.yml, .github/workflows/django-spanner-mockserver-tests.yml, .github/workflows/docs.yml, .github/workflows/gapic-generator-tests.yml, .github/workflows/generator.yml, .github/workflows/lint.yml, .github/workflows/unittest.yml, .kokoro/continuous/prerelease.cfg, .kokoro/presubmit/prerelease.cfg, packages/bigframes/scripts/publish_api_coverage.py, packages/bigframes/scripts/test_publish_api_coverage.py, packages/google-cloud-eventarc-publishing/tests/unit/gapic/eventarc_publishing_v1/test_publisher.py, packages/google-cloud-pubsub/google/cloud/pubsub_v1/open_telemetry/publish_message_wrapper.py, packages/google-cloud-pubsub/tests/unit/gapic/pubsub_v1/test_publisher.py, packages/google-cloud-pubsub/tests/unit/pubsub_v1/publisher/test_futures_publisher.py, packages/google-cloud-pubsub/tests/unit/pubsub_v1/publisher/test_publish_message_wrapper.py, packages/google-cloud-pubsub/tests/unit/pubsub_v1/publisher/test_publisher_client.py, scripts/split_repo_migration/delete-everything-split-repo.sh",Yes,Yes,twine,"packages/db-dtypes/release-procedure.md, packages/google-crc32c/scripts/manylinux/publish_python_wheel.sh, packages/google-crc32c/scripts/osx/publish_python_wheel.sh","black, flake8, mypy, pre-commit, pylint, ruff","actions/setup-python, nox, pip",No,GitHub Releases
tzdata,https://github.com/python/tzdata,62,-,Yes,GitHub Actions,".github/workflows/auto-tag.yml, .github/workflows/check-for-updates.yml, .github/workflows/publish.yml, .github/workflows/tests.yml",setuptools,"pyproject.toml, setup.cfg","pytest, tox",".github/workflows/check-for-updates.yml, .github/workflows/tests.yml, pyproject.toml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"black, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,"GitHub Releases, Release Tags"
tqdm,https://github.com/tqdm/tqdm,63,-,Yes,GitHub Actions,".github/workflows/check.yml, .github/workflows/comment-bot.yml, .github/workflows/post-release.yml, .github/workflows/test.yml","build, setuptools","Makefile, pyproject.toml","coverage, pytest, tox",".github/workflows/check.yml, .github/workflows/test.yml, .pre-commit-config.yaml, Makefile, pyproject.toml, tox.ini",Yes,Yes,twine,Makefile,"flake8, isort, pre-commit","actions/setup-python, pip, tox, venv",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
tomli,https://github.com/hukkin/tomli,64,-,Yes,GitHub Actions,.github/workflows/tests.yaml,"build, flit, setuptools",".github/workflows/tests.yaml, pyproject.toml, setup.py","coverage, tox, unittest",".github/workflows/tests.yaml, pyproject.toml, scripts/mypyc_tox",Yes,Yes,twine,.github/workflows/tests.yaml,"black, flake8, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,"Release Tags, Semantic Versioning"
colorama,https://github.com/tartley/colorama,65,-,Yes,GitHub Actions,".github/workflows/lint_python.yml, .github/workflows/test.yml",hatchling,pyproject.toml,"pytest, tox, unittest",".github/workflows/lint_python.yml, .github/workflows/test.yml, Makefile, tox.ini",Yes,Yes,twine,test-release,"black, flake8, isort, mypy","actions/setup-python, hatch, pip, tox, venv",No,"GitHub Releases, Release Tags"
googleapis-common-protos,https://github.com/googleapis/google-cloud-python/tree/main/packages/googleapis-common-protos,66,-,No,-,-,-,-,-,-,No,No,-,-,-,-,No,-
mdurl,https://github.com/executablebooks/mdurl,67,-,Yes,GitHub Actions,.github/workflows/tests.yaml,"build, flit",".github/workflows/tests.yaml, pyproject.toml","coverage, pytest, tox",".github/workflows/tests.yaml, .pre-commit-config.yaml, pyproject.toml",Yes,Yes,twine,.github/workflows/tests.yaml,"black, flake8, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,"Release Tags, Semantic Versioning"
starlette,https://github.com/Kludex/starlette,68,-,Yes,GitHub Actions,".github/workflows/main.yml, .github/workflows/publish.yml",hatchling,pyproject.toml,"coverage, pytest",".github/workflows/main.yml, pyproject.toml, scripts/README.md, scripts/coverage, scripts/test",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"black, flake8, isort, mypy, pyright, ruff","astral-sh/setup-uv, hatch",Yes,Release Tags
virtualenv,https://github.com/pypa/virtualenv,69,-,Yes,GitHub Actions,".github/workflows/check.yaml, .github/workflows/pre-release.yaml, .github/workflows/release.yaml, .github/workflows/upgrade.yaml",hatchling,pyproject.toml,"coverage, pytest, tox",".github/workflows/check.yaml, .github/workflows/pre-release.yaml, .github/workflows/release.yaml, .github/workflows/upgrade.yaml, .pre-commit-config.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yaml,"isort, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, hatch, pip, tox, venv",Yes,Release Tags
awscli,https://github.com/aws/aws-cli,70,-,Yes,GitHub Actions,".github/workflows/closed-issue-update.yml, .github/workflows/doc-pr-cherry-pick.yml, .github/workflows/fail-master-prs.yml, .github/workflows/handle-stale-discussions.yml, .github/workflows/issue-regression-labeler.yml, .github/workflows/pull-request-build.yml, .github/workflows/run-bundle-test.yml, .github/workflows/run-dep-tests.yml, .github/workflows/run-tests.yml, .github/workflows/stale_community_prs.yml, .github/workflows/stale_issue.yml, .github/workflows/update-lockfiles.yml",setuptools,setup.py,"coverage, nox, pytest, tox, unittest","pyproject.toml, scripts/ci/run-tests, setup.cfg, tests/unit/customizations/emr/test_create_cluster_release_label.py, tox.ini",No,No,-,-,"black, flake8, isort, pre-commit, ruff","actions/setup-python, nox, pip, tox, venv",Yes,Semantic Versioning
pillow,https://github.com/python-pillow/Pillow,71,-,Yes,GitHub Actions,".github/workflows/cifuzz.yml, .github/workflows/docs.yml, .github/workflows/lint.yml, .github/workflows/release-drafter.yml, .github/workflows/stale.yml, .github/workflows/test-docker.yml, .github/workflows/test-mingw.yml, .github/workflows/test-valgrind-memory.yml, .github/workflows/test-valgrind.yml, .github/workflows/test-windows.yml, .github/workflows/test.yml, .github/workflows/wheels.yml",setuptools,"pyproject.toml, setup.py","coverage, pytest, tox",".github/workflows/lint.yml, .github/workflows/test-docker.yml, .github/workflows/test-mingw.yml, .github/workflows/test-windows.yml, .github/workflows/test.yml, .pre-commit-config.yaml, Makefile, pyproject.toml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/wheels.yml,"black, flake8, isort, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, pip, tox, venv",Yes,Release Tags
propcache,https://github.com/aio-libs/propcache,72,-,Yes,GitHub Actions,".github/workflows/auto-merge.yml, .github/workflows/ci-cd.yml, .github/workflows/codeql.yml, .github/workflows/reusable-build-wheel.yml, .github/workflows/reusable-linters.yml","build, setuptools",".github/workflows/reusable-linters.yml, pyproject.toml, setup.cfg","coverage, pytest, tox",".github/workflows/ci-cd.yml, .github/workflows/reusable-build-wheel.yml, .github/workflows/reusable-linters.yml, .pre-commit-config.yaml, Makefile, pyproject.toml, setup.cfg",Yes,Yes,pypa/gh-action-pypi-publish,".github/workflows/ci-cd.yml, .pre-commit-config.yaml","black, flake8, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,Release Tags
frozenlist,https://github.com/aio-libs/frozenlist,73,-,Yes,GitHub Actions,".github/workflows/ci-cd.yml, .github/workflows/codeql.yml, .github/workflows/dependabot-auto-merge.yml, .github/workflows/reusable-cibuildwheel.yml, .github/workflows/reusable-linters.yml","build, setuptools",".github/workflows/reusable-linters.yml, pyproject.toml","coverage, pytest, tox",".github/workflows/ci-cd.yml, .github/workflows/reusable-linters.yml, .pre-commit-config.yaml, Makefile, pyproject.toml, setup.cfg, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci-cd.yml,"black, flake8, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,"Release Tags, Semantic Versioning"
scipy,https://github.com/scipy/scipy,74,-,Yes,"CircleCI, GitHub Actions",".circleci/config.yml, .github/workflows/array_api.yml, .github/workflows/circle_artifacts.yml, .github/workflows/codeql.yml, .github/workflows/commit_message.yml, .github/workflows/gpu-ci.yml, .github/workflows/issue-labeler.yml, .github/workflows/label-pr-on-close.yml, .github/workflows/label-pr-on-open.yml, .github/workflows/lint.yml, .github/workflows/linux.yml, .github/workflows/linux_blas.yml, .github/workflows/linux_intel_oneAPI.yml, .github/workflows/macos.yml, .github/workflows/pixi-packages.yml, .github/workflows/wheels.yml, .github/workflows/windows.yml, .github/workflows/windows_intel_oneAPI.yml","build, meson",".github/workflows/linux.yml, .github/workflows/linux_blas.yml, pyproject.toml","coverage, pytest",".circleci/config.yml, .github/workflows/gpu-ci.yml, .github/workflows/linux.yml, .github/workflows/linux_blas.yml, .github/workflows/linux_intel_oneAPI.yml, .github/workflows/macos.yml, .github/workflows/windows.yml, .github/workflows/windows_intel_oneAPI.yml, pyproject.toml",Yes,No,-,-,"mypy, ruff","actions/setup-python, pip, venv",No,-
rpds-py,https://github.com/crate-py/rpds,75,-,Yes,GitHub Actions,".github/workflows/CI.yml, .github/workflows/zizmor.yml",-,-,"coverage, nox, pytest",".github/workflows/CI.yml, noxfile.py, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/CI.yml,"flake8, isort, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, nox, venv",Yes,"GitHub Releases, Release Tags"
trove-classifiers,https://github.com/pypa/trove-classifiers,76,-,Yes,GitHub Actions,".github/workflows/main.yml, .github/workflows/release.yml","build, setuptools",".github/workflows/release.yml, pyproject.toml, setup.py",pytest,Makefile,No,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yml,"black, mypy","actions/setup-python, pip, venv",Yes,"GitHub Releases, Calendar Versioning (CalVer)"
fastapi,https://github.com/fastapi/fastapi,77,-,Yes,GitHub Actions,".github/workflows/add-to-project.yml, .github/workflows/build-docs.yml, .github/workflows/contributors.yml, .github/workflows/deploy-docs.yml, .github/workflows/detect-conflicts.yml, .github/workflows/issue-manager.yml, .github/workflows/label-approved.yml, .github/workflows/labeler.yml, .github/workflows/latest-changes.yml, .github/workflows/notify-translations.yml, .github/workflows/people.yml, .github/workflows/pre-commit.yml, .github/workflows/publish.yml, .github/workflows/smokeshow.yml, .github/workflows/sponsors.yml, .github/workflows/test-redistribute.yml, .github/workflows/test.yml, .github/workflows/topic-repos.yml, .github/workflows/translate.yml","build, pdm-backend",".github/workflows/test-redistribute.yml, pyproject.toml","coverage, pytest, unittest",".github/workflows/smokeshow.yml, .github/workflows/test.yml, docs/en/docs/release-notes.md, pyproject.toml, scripts/coverage.sh, scripts/test.sh, scripts/tests/test_translation_fixer/conftest.py, scripts/tests/test_translation_fixer/test_code_blocks/test_code_blocks_lines_number_mismatch.py, scripts/tests/test_translation_fixer/test_code_blocks/test_code_blocks_mermaid.py, scripts/tests/test_translation_fixer/test_code_blocks/test_code_blocks_number_mismatch.py, scripts/tests/test_translation_fixer/test_code_blocks/test_code_blocks_wrong_lang_code.py, scripts/tests/test_translation_fixer/test_code_includes/test_number_mismatch.py, scripts/tests/test_translation_fixer/test_complex_doc/test_compex_doc.py, scripts/tests/test_translation_fixer/test_header_permalinks/test_header_level_mismatch.py, scripts/tests/test_translation_fixer/test_header_permalinks/test_header_number_mismatch.py, scripts/tests/test_translation_fixer/test_html_links/test_html_links_number_mismatch.py, scripts/tests/test_translation_fixer/test_markdown_links/test_mkd_links_number_mismatch.py",Yes,Yes,"astral_uv, flit, pypa/gh-action-pypi-publish",".github/workflows/publish.yml, docs/en/docs/release-notes.md","black, flake8, isort, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, hatch, pdm, pip, venv",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
rsa,https://github.com/sybrenstuvel/python-rsa,78,-,Yes,"GitHub Actions, Travis CI",".github/workflows/tests.yml, .travis.yml",poetry-core,pyproject.toml,"pytest, tox",".github/workflows/tests.yml, .travis.yml, pyproject.toml, tox.ini",Yes,No,-,-,"black, flake8, mypy","actions/setup-python, pip, tox, venv",No,-
referencing,https://github.com/python-jsonschema/referencing,79,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/zizmor.yml",hatchling,pyproject.toml,"coverage, nox, pytest",".github/workflows/ci.yml, noxfile.py, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci.yml,"flake8, isort, mypy, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, hatch, nox, pip, venv",Yes,Release Tags
wrapt,https://github.com/GrahamDumpleton/wrapt,80,-,Yes,GitHub Actions,.github/workflows/build-test-release.yml,"build, setuptools",".github/workflows/build-test-release.yml, pyproject.toml, setup.py","pytest, tox",".github/workflows/build-test-release.yml, pyproject.toml, tox.ini",Yes,No,-,-,"black, isort, mypy","actions/setup-python, pip, tox, venv",Yes,Release Tags
pyasn1-modules,https://github.com/pyasn1/pyasn1-modules,81,-,Yes,GitHub Actions,".github/workflows/main.yml, .github/workflows/pypi.yml","build, setuptools",".github/workflows/main.yml, .github/workflows/pypi.yml, pyproject.toml","coverage, tox, unittest",".github/workflows/main.yml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/pypi.yml,-,"actions/setup-python, pip, tox",No,-
aiosignal,https://github.com/aio-libs/aiosignal,82,-,Yes,GitHub Actions,".github/workflows/ci-cd.yml, .github/workflows/codeql.yml, .github/workflows/dependabot-auto-merge.yml","build, setuptools","pyproject.toml, setup.cfg, setup.py, tox.ini","coverage, pytest, tox",".github/workflows/ci-cd.yml, .pre-commit-config.yaml, Makefile, setup.cfg, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci-cd.yml,"flake8, isort, mypy, pre-commit","actions/setup-python, pip, tox",Yes,Release Tags
jsonschema-specifications,https://github.com/python-jsonschema/jsonschema-specifications,83,-,Yes,GitHub Actions,.github/workflows/ci.yml,hatchling,pyproject.toml,"coverage, nox, pytest",".github/workflows/ci.yml, noxfile.py, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci.yml,"black, flake8, isort, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, hatch, nox, pip, venv",Yes,Release Tags
greenlet,https://github.com/python-greenlet/greenlet,84,-,Yes,GitHub Actions,.github/workflows/tests.yml,setuptools,"pyproject.toml, setup.py","tox, unittest",".github/workflows/tests.yml, tox.ini",Yes,Yes,"pypa/gh-action-pypi-publish, twine",.github/workflows/tests.yml,pylint,"actions/setup-python, pip, tox",Yes,Release Tags
grpcio,https://github.com/grpc/grpc,85,-,Yes,GitHub Actions,".github/workflows/pr-auto-fix.yaml, .github/workflows/pr-auto-tag.yaml, .github/workflows/pr-check-bzlmod-deps.yaml, .github/workflows/publish-to-bcr.yaml, .github/workflows/update-artifacts-branch.yaml",setuptools,"pyproject.toml, setup.py",coverage,"Makefile, setup.cfg, setup.py",No,No,-,-,"isort, pyright","actions/setup-python, pip, venv",No,-
sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,86,-,Yes,GitHub Actions,".github/workflows/create-wheels.yaml, .github/workflows/run-on-pr.yaml, .github/workflows/run-test.yaml","build, setuptools",".github/workflows/create-wheels.yaml, pyproject.toml, setup.py","coverage, nox, pytest, tox",".github/workflows/run-on-pr.yaml, .github/workflows/run-test.yaml, noxfile.py, pyproject.toml, tox.ini",Yes,Yes,twine,.github/workflows/create-wheels.yaml,"black, flake8, isort, mypy, pyright","actions/setup-python, nox, pip, tox, venv",Yes,GitHub Releases
requests-oauthlib,https://github.com/requests/requests-oauthlib,87,-,Yes,GitHub Actions,".github/workflows/publish-release.yml, .github/workflows/run-tests.yml","build, setuptools",".github/workflows/publish-release.yml, setup.py","coverage, tox, unittest",".github/workflows/run-tests.yml, tox.ini",Yes,Yes,twine,.github/workflows/publish-release.yml,ruff,"actions/setup-python, pip, tox",Yes,Release Tags
pyarrow,https://github.com/apache/arrow,88,-,Yes,GitHub Actions,".github/workflows/archery.yml, .github/workflows/check_labels.yml, .github/workflows/comment_bot.yml, .github/workflows/cpp.yml, .github/workflows/cpp_extra.yml, .github/workflows/cpp_windows.yml, .github/workflows/cuda_extra.yml, .github/workflows/dev.yml, .github/workflows/dev_pr.yml, .github/workflows/docs.yml, .github/workflows/docs_light.yml, .github/workflows/integration.yml, .github/workflows/issue_bot.yml, .github/workflows/matlab.yml, .github/workflows/package_linux.yml, .github/workflows/pr_bot.yml, .github/workflows/pr_review_trigger.yml, .github/workflows/python.yml, .github/workflows/r.yml, .github/workflows/r_extra.yml, .github/workflows/r_nightly.yml, .github/workflows/release.yml, .github/workflows/release_candidate.yml, .github/workflows/report_ci.yml, .github/workflows/ruby.yml, .github/workflows/stale.yml, .github/workflows/verify_rc.yml",-,-,"pytest, unittest",".github/workflows/archery.yml, .github/workflows/cpp_extra.yml, .github/workflows/dev.yml, dev/archery/archery/release/tests/test_release.py, dev/release/verify-release-candidate.sh",Yes,No,-,-,"flake8, pre-commit","actions/setup-python, pip, venv",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
pyparsing,https://github.com/pyparsing/pyparsing,89,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/cifuzz.yml",flit,pyproject.toml,"pytest, tox",".github/workflows/ci.yml, pyproject.toml, tox.ini",Yes,No,-,-,"black, mypy","actions/setup-python, pip, tox",No,-
aiohappyeyeballs,https://github.com/aio-libs/aiohappyeyeballs,90,-,Yes,GitHub Actions,".github/workflows/ci-cd.yml, .github/workflows/issue-manager.yml","poetry-core, setuptools","pyproject.toml, setup.py","coverage, pytest",".github/workflows/ci-cd.yml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci-cd.yml,"flake8, isort, mypy, pre-commit, ruff","actions/setup-python, pip",Yes,"GitHub Releases, Semantic Versioning"
opentelemetry-api,https://github.com/open-telemetry/opentelemetry-python,91,-,Yes,GitHub Actions,".github/workflows/backport.yml, .github/workflows/benchmarks.yml, .github/workflows/changelog.yml, .github/workflows/check-links.yml, .github/workflows/ci.yml, .github/workflows/codeql-analysis.yml, .github/workflows/fossa.yml, .github/workflows/lint.yml, .github/workflows/misc.yml, .github/workflows/ossf-scorecard.yml, .github/workflows/prepare-patch-release.yml, .github/workflows/prepare-release-branch.yml, .github/workflows/release.yml, .github/workflows/stale.yml, .github/workflows/test.yml",-,-,"coverage, pytest, tox",".github/workflows/benchmarks.yml, .github/workflows/ci.yml, .github/workflows/lint.yml, .github/workflows/misc.yml, .github/workflows/test.yml, pyproject.toml, scripts/coverage.sh, scripts/eachdist.py, scripts/semconv/generate.sh, scripts/tracecontext-integration-test.sh, tox.ini",Yes,Yes,twine,.github/workflows/release.yml,"black, flake8, isort, mypy, pre-commit, pylint, pyright, ruff","actions/setup-python, hatch, pip, tox, venv",Yes,GitHub Releases
tenacity,https://github.com/jd/tenacity,92,-,Yes,GitHub Actions,".github/workflows/ci.yaml, .github/workflows/release.yml",hatchling,pyproject.toml,pytest,pyproject.toml,No,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yml,"mypy, ruff","astral-sh/setup-uv, hatch",Yes,GitHub Releases
annotated-doc,https://github.com/fastapi/annotated-doc,93,-,Yes,GitHub Actions,".github/workflows/add-to-project.yml, .github/workflows/detect-conflicts.yml, .github/workflows/issue-manager.yml, .github/workflows/labeler.yml, .github/workflows/latest-changes.yml, .github/workflows/pre-commit.yml, .github/workflows/publish.yml, .github/workflows/smokeshow.yml, .github/workflows/test-redistribute.yml, .github/workflows/test.yml","build, pdm-backend",".github/workflows/test-redistribute.yml, pyproject.toml","coverage, pytest",".github/workflows/smokeshow.yml, .github/workflows/test.yml, pyproject.toml, release-notes.md, scripts/coverage.sh, scripts/test-cov-html.sh, scripts/test.sh",Yes,Yes,astral_uv,.github/workflows/publish.yml,"black, flake8, isort, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, pdm, pip",Yes,GitHub Releases
cachetools,https://github.com/tkem/cachetools/,94,-,Yes,GitHub Actions,.github/workflows/ci.yml,setuptools,pyproject.toml,"coverage, pytest, tox",".github/workflows/ci.yml, pyproject.toml, tox.ini",Yes,No,-,-,"black, flake8, pyright","actions/setup-python, pip, tox",No,-
regex,https://github.com/mrabarnett/mrab-regex,95,-,Yes,GitHub Actions,.github/workflows/main.yml,"build, setuptools",".github/workflows/main.yml, pyproject.toml, setup.py",unittest,.github/workflows/main.yml,Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/main.yml,-,"actions/setup-python, pip",Yes,Release Tags
psutil,https://github.com/giampaolo/psutil,96,-,Yes,GitHub Actions,".github/workflows/bsd.yml, .github/workflows/build.yml, .github/workflows/changelog_bot.yml, .github/workflows/issues.yml, .github/workflows/sunos.yml",setuptools,"pyproject.toml, setup.py","coverage, pytest, unittest",".github/workflows/sunos.yml, Makefile, pyproject.toml, setup.py",Yes,Yes,twine,Makefile,"black, flake8, isort, pre-commit, pylint, ruff","actions/setup-python, pip, venv",Yes,"GitHub Releases, Release Tags"
opentelemetry-semantic-conventions,https://github.com/open-telemetry/opentelemetry-python,97,-,Yes,GitHub Actions,".github/workflows/backport.yml, .github/workflows/benchmarks.yml, .github/workflows/changelog.yml, .github/workflows/check-links.yml, .github/workflows/ci.yml, .github/workflows/codeql-analysis.yml, .github/workflows/fossa.yml, .github/workflows/lint.yml, .github/workflows/misc.yml, .github/workflows/ossf-scorecard.yml, .github/workflows/prepare-patch-release.yml, .github/workflows/prepare-release-branch.yml, .github/workflows/release.yml, .github/workflows/stale.yml, .github/workflows/test.yml",-,-,"coverage, pytest, tox",".github/workflows/benchmarks.yml, .github/workflows/ci.yml, .github/workflows/lint.yml, .github/workflows/misc.yml, .github/workflows/test.yml, pyproject.toml, scripts/coverage.sh, scripts/eachdist.py, scripts/semconv/generate.sh, scripts/tracecontext-integration-test.sh, tox.ini",Yes,Yes,twine,.github/workflows/release.yml,"black, flake8, isort, mypy, pre-commit, pylint, pyright, ruff","actions/setup-python, hatch, pip, tox, venv",Yes,GitHub Releases
hatchling,https://github.com/pypa/hatch,98,-,Yes,GitHub Actions,".github/workflows/auto-merge.yml, .github/workflows/build-distributions.yml, .github/workflows/build-hatch.yml, .github/workflows/build-hatchling.yml, .github/workflows/cli.yml, .github/workflows/docs-dev.yml, .github/workflows/docs-release.yml, .github/workflows/test.yml","build, hatchling",".github/workflows/build-hatch.yml, .github/workflows/build-hatchling.yml, pyproject.toml","coverage, pytest",".github/workflows/test.yml, docs/blog/posts/release-hatch-1100.md, pyproject.toml, scripts/generate_coverage_summary.py, scripts/write_coverage_summary_report.py, tests/cli/publish/test_publish.py",Yes,Yes,"hatch, pypa/gh-action-pypi-publish",".github/workflows/build-hatch.yml, .github/workflows/build-hatchling.yml, docs/publish.md","mypy, ruff","actions/setup-python, astral-sh/setup-uv, hatch, pip, venv",Yes,"Release Tags, Semantic Versioning"
oauthlib,https://github.com/oauthlib/oauthlib,99,-,Yes,GitHub Actions,".github/workflows/dependency-review.yml, .github/workflows/lint_python.yml, .github/workflows/python-build.yml",setuptools,setup.py,"coverage, pytest, tox",".github/workflows/lint_python.yml, .github/workflows/python-build.yml, Makefile, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/python-build.yml,"isort, mypy, pre-commit, ruff","actions/setup-python, pip, tox, venv",No,-
